,drink water,eat meal/snack,brushing teeth,brushing hair,drop,pickup,throw,sit down,stand up,clapping,reading,writing,tear up paper,put on jacket,take off jacket,put on a shoe,take off a shoe,put on glasses,take off glasses,put on a hat/cap,take off a hat/cap,cheer up,hand waving,kicking something,reach into pocket,hopping,jump up,phone call,play with phone/tablet,type on a keyboard,point to something,taking a selfie,check time (from watch),rub two hands,nod head/bow,shake head,wipe face,salute,put palms together,cross hands in front,sneeze/cough,staggering,falling,headache,chest pain,back pain,neck pain,nausea/vomiting,fan self,punch/slap,kicking other person,pushing other person,pat on back,point finger at other,hugging other person,giving object to other,touch other person's pocket,shaking hands,walking towards each other,walking apart from each other
drink water,140,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eat meal/snack,5,134,8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brushing teeth,1,0,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3,0,0,0,0,3,3,0,0,3,0,0,9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
brushing hair,0,0,0,119,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,2,16,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
drop,0,1,0,0,148,0,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pickup,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
throw,0,0,0,0,0,0,148,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sit down,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stand up,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clapping,0,0,0,2,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,16,0,0,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
reading,0,1,1,0,2,0,0,0,0,2,55,29,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,46,15,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
writing,0,2,0,0,0,0,0,0,0,1,6,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,35,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tear up paper,0,3,0,0,0,0,0,0,0,4,4,2,144,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
put on jacket,0,0,0,0,0,0,0,0,0,0,0,0,0,164,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
take off jacket,0,0,0,0,0,0,1,0,0,0,0,0,0,12,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
put on a shoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
take off a shoe,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,131,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
put on glasses,0,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,153,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
take off glasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
put on a hat/cap,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
