epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
1,4.118343,4.104285,2.01,1.77,0.0069,0.0170,0.0073,11.38
2,3.854325,3.536449,5.02,8.78,0.0711,0.0879,0.0491,34.72
3,3.605783,3.194011,9.25,20.00,0.2270,0.2001,0.1439,55.04
4,3.234810,2.784612,19.79,29.36,0.3206,0.2939,0.2328,68.64
5,2.995083,2.444140,27.97,38.95,0.4273,0.3897,0.3454,79.44
6,2.767518,2.213374,34.47,48.17,0.4954,0.4818,0.4519,85.04
7,2.577406,2.361303,42.19,43.06,0.4986,0.4308,0.4037,81.02
8,2.514403,2.073148,44.87,51.63,0.5547,0.5165,0.4952,88.14
9,2.436168,1.916602,47.99,56.95,0.5949,0.5696,0.5507,90.69
10,2.344806,1.769402,52.10,62.31,0.6419,0.6232,0.6091,93.15
11,2.279269,1.794870,54.35,61.57,0.6495,0.6159,0.6067,92.83
12,2.222553,1.731141,57.00,64.85,0.6823,0.6485,0.6361,94.04
13,2.153559,1.671561,59.31,66.17,0.6883,0.6618,0.6522,94.77
14,2.138409,1.688931,60.24,66.31,0.6912,0.6632,0.6479,93.81
15,2.062607,1.585355,62.44,69.97,0.7347,0.6998,0.6908,95.21
16,2.065171,1.545346,62.81,71.47,0.7290,0.7147,0.7076,96.23
17,2.022545,1.513083,63.47,72.15,0.7398,0.7217,0.7158,95.87
18,1.964110,1.514616,66.69,72.88,0.7407,0.7289,0.7230,96.17
19,1.970846,1.465769,66.13,73.84,0.7536,0.7385,0.7294,96.78
20,1.923665,1.483689,67.30,73.84,0.7505,0.7384,0.7287,96.20
21,1.897286,1.474657,68.29,73.73,0.7518,0.7373,0.7316,96.63
22,1.948156,1.447185,67.70,75.26,0.7598,0.7527,0.7439,96.42
23,1.951118,1.410329,67.96,76.03,0.7728,0.7604,0.7598,96.88
24,1.877500,1.447849,69.57,74.73,0.7668,0.7474,0.7462,96.51
25,1.810838,1.431430,71.06,76.32,0.7724,0.7633,0.7567,96.49
26,1.826082,1.406740,71.70,76.82,0.7806,0.7683,0.7644,96.94
27,1.778556,1.409906,72.50,76.81,0.7824,0.7682,0.7657,97.11
28,1.789953,1.364936,72.34,77.79,0.7872,0.7779,0.7736,97.27
29,1.805456,1.341883,72.43,79.08,0.7954,0.7908,0.7876,97.39
30,1.754379,1.345964,74.13,78.64,0.7897,0.7864,0.7793,97.27
31,1.719322,1.354578,74.79,78.43,0.7909,0.7844,0.7793,97.16
32,1.743012,1.379454,74.94,77.87,0.7939,0.7788,0.7778,97.45
33,1.708265,1.381873,74.80,78.85,0.7968,0.7885,0.7853,97.04
34,1.789728,1.351961,73.66,78.63,0.7917,0.7863,0.7788,96.87
35,1.689776,1.397659,75.39,78.77,0.7949,0.7878,0.7811,96.81
36,1.700062,1.337632,75.88,78.27,0.7939,0.7828,0.7787,97.59
37,1.664518,1.351857,76.85,78.66,0.7875,0.7867,0.7806,96.93
38,1.669005,1.323673,77.70,80.66,0.8117,0.8067,0.8042,97.21
39,1.640917,1.308674,77.50,80.24,0.8046,0.8024,0.7965,97.39
40,1.661914,1.325609,77.50,79.64,0.8042,0.7964,0.7932,97.16
41,1.692170,1.354271,77.06,79.09,0.7969,0.7909,0.7879,97.15
42,1.606805,1.351172,78.54,78.86,0.8040,0.7887,0.7875,97.42
43,1.586510,1.338680,79.79,79.61,0.8044,0.7961,0.7905,97.23
44,1.624441,1.314071,77.93,80.16,0.8083,0.8017,0.7991,97.27
45,1.622721,1.315173,78.60,80.05,0.8085,0.8006,0.7971,97.20
46,1.624052,1.307181,78.08,80.05,0.8131,0.8006,0.7997,97.52
47,1.612929,1.341074,78.88,78.98,0.8051,0.7899,0.7863,97.13
48,1.644871,1.330673,78.33,79.93,0.8071,0.7994,0.7952,96.94
49,1.552434,1.302248,80.09,79.98,0.8064,0.7999,0.7966,97.38
50,1.594216,1.314718,79.64,80.36,0.8100,0.8036,0.7995,97.23
51,1.555401,1.314668,81.11,80.41,0.8104,0.8041,0.8016,97.37
52,1.538927,1.293695,80.77,81.21,0.8166,0.8122,0.8082,97.31
53,1.600162,1.332797,79.34,80.27,0.8072,0.8028,0.7971,96.72
54,1.584866,1.304457,79.94,80.66,0.8093,0.8067,0.8023,97.06
55,1.606250,1.332232,79.62,79.57,0.8056,0.7957,0.7897,96.99
56,1.531290,1.322029,81.30,80.35,0.8140,0.8035,0.8018,96.93
57,1.548679,1.266912,81.33,81.66,0.8209,0.8166,0.8144,97.60
58,1.578059,1.290433,80.09,81.35,0.8219,0.8135,0.8095,97.43
59,1.610631,1.327806,79.61,80.38,0.8111,0.8039,0.7987,96.83
60,1.492568,1.309665,83.09,80.83,0.8166,0.8084,0.8069,97.33
61,1.505912,1.332856,82.33,79.65,0.8109,0.7966,0.7956,96.99
62,1.583795,1.300089,80.22,80.47,0.8099,0.8047,0.8010,97.13
63,1.508044,1.291561,82.40,80.79,0.8196,0.8079,0.8065,97.63
64,1.581883,1.322929,80.31,80.81,0.8136,0.8082,0.8049,97.00
65,1.496547,1.306591,82.34,80.81,0.8120,0.8081,0.8050,97.22
66,1.516595,1.260159,82.31,82.18,0.8256,0.8217,0.8187,97.32
67,1.460309,1.296356,84.00,81.65,0.8205,0.8165,0.8135,97.51
68,1.496594,1.287610,83.03,81.49,0.8223,0.8149,0.8104,97.62
69,1.472686,1.270558,83.27,82.31,0.8292,0.8231,0.8208,97.66
70,1.435738,1.291311,84.32,81.94,0.8226,0.8194,0.8169,97.16
71,1.488266,1.275730,83.63,81.25,0.8215,0.8125,0.8117,97.63
72,1.552452,1.288466,81.40,81.35,0.8210,0.8135,0.8120,97.42
73,1.443351,1.318055,85.00,81.49,0.8215,0.8150,0.8123,97.13
74,1.435452,1.252381,84.36,82.33,0.8292,0.8234,0.8220,97.48
75,1.484142,1.221509,83.65,83.20,0.8363,0.8320,0.8312,97.81
76,1.460726,1.295298,83.93,81.89,0.8273,0.8190,0.8178,96.99
77,1.478711,1.267669,83.11,82.22,0.8264,0.8223,0.8202,97.50
78,1.467512,1.267790,84.10,82.21,0.8252,0.8221,0.8193,97.45
79,1.497426,1.258780,82.64,82.39,0.8327,0.8240,0.8225,97.46
80,1.525706,1.269459,81.72,82.07,0.8261,0.8206,0.8177,97.76
81,1.496383,1.272169,83.17,82.47,0.8277,0.8247,0.8222,97.48
82,1.406832,1.302465,85.62,81.25,0.8208,0.8125,0.8090,97.46
83,1.530089,1.263807,82.68,82.41,0.8292,0.8241,0.8218,97.29
84,1.449783,1.291571,84.51,81.43,0.8220,0.8144,0.8098,97.39
85,1.422378,1.229794,85.06,83.44,0.8373,0.8345,0.8321,97.83
86,1.446990,1.248805,84.91,82.83,0.8342,0.8284,0.8278,97.85
