Device: cuda
--> Splitting data using NTU X-Sub protocol...

=== Dataset Summary ===
Total folders: 10
Train files: 17732 | Val files: 8202
========================

--> No valid checkpoint found or RESUME_PATH is None. Training from scratch.
Starting training for 400 epochs...
Ep 1| LR: 5.00e-05 | Train Loss: 4.1183 | Train Acc: 2.01% | Val Acc: 1.77%
Ep 2| LR: 1.00e-04 | Train Loss: 3.8543 | Train Acc: 5.02% | Val Acc: 8.78%
Ep 3| LR: 1.50e-04 | Train Loss: 3.6058 | Train Acc: 9.25% | Val Acc: 20.00%
Ep 4| LR: 2.00e-04 | Train Loss: 3.2348 | Train Acc: 19.79% | Val Acc: 29.36%
Ep 5| LR: 2.50e-04 | Train Loss: 2.9951 | Train Acc: 27.97% | Val Acc: 38.95%
Ep 6| LR: 3.00e-04 | Train Loss: 2.7675 | Train Acc: 34.47% | Val Acc: 48.17%
Ep 7| LR: 3.50e-04 | Train Loss: 2.5774 | Train Acc: 42.19% | Val Acc: 43.06%
Ep 8| LR: 4.00e-04 | Train Loss: 2.5144 | Train Acc: 44.87% | Val Acc: 51.63%
Ep 9| LR: 4.50e-04 | Train Loss: 2.4362 | Train Acc: 47.99% | Val Acc: 56.95%
Ep 10| LR: 5.00e-04 | Train Loss: 2.3448 | Train Acc: 52.10% | Val Acc: 62.31%
Ep 11| LR: 5.50e-04 | Train Loss: 2.2793 | Train Acc: 54.35% | Val Acc: 61.57%
Ep 12| LR: 6.00e-04 | Train Loss: 2.2226 | Train Acc: 57.00% | Val Acc: 64.85%
Ep 13| LR: 6.50e-04 | Train Loss: 2.1536 | Train Acc: 59.31% | Val Acc: 66.17%
Ep 14| LR: 7.00e-04 | Train Loss: 2.1384 | Train Acc: 60.24% | Val Acc: 66.31%
Ep 15| LR: 7.50e-04 | Train Loss: 2.0626 | Train Acc: 62.44% | Val Acc: 69.97%
Ep 16| LR: 8.00e-04 | Train Loss: 2.0652 | Train Acc: 62.81% | Val Acc: 71.47%
Ep 17| LR: 8.50e-04 | Train Loss: 2.0225 | Train Acc: 63.47% | Val Acc: 72.15%
